Artist;Title
Lil Tommy Terror;Wings On My Penis
Above & Beyond feat. Alex Vargas;Sticky Fingers
BCee feat. Philippa Hanna;Summery
Chaos Chaos;DO You Feel It
Chase & Status feat. Delilah;Time
Chicane;Come Tomorrow
Cosmic Gate feat. Kyler England;Flatline
Cult to Follow;Murder Melody
Darude;Sandstorm
Die Antwoord;Banana Brain
The Glitch Mob;Animus Vox
Linkin Park;In The End
Mindless Self Indulgence;Straight To Video
Pendulum;Hold Your Colour
The Prodigy;The Day Is My Enemy
Shpongle;Once Upon The Sea Of Blissful Awareness
Airwave;When Thing Go Wrong
Sub Focus;Last Jungle
TyDi;Meet Me In Kyoto