Chinese;Pinyin
一;yī
二;èr
三;sān
四;sì
五;wǔ
六;liù
七;qī
八;bā
九;jǐu
十;shí
百;bǎi
千;qiǎn
上;shàng
下;xià
左;zuǒ
右;yoù
中;zhōng
大;dà
小;xiǎo
月;yùe
日;rì
年;niàn
早;zǎo
木;mù
林;lín
山;shǎn
川;chuān
土;tǔ
空;kōng
田;tián
天;tiān
生;shēng
花;huā
草;cǎo
虫;chōng
犬;quǎn
人;rén
名;míng
女;nǚ
男;nán
子;zǐ
目;mù
耳;ěr
口;kǒu
手;shǒu
足;zú
見;jiàn
音;yīn
力;lì
入;rù
出;chū
立;lì
休;xīu
先;xiān
夕;xī
本;běn
文;wén
字;zì
学;xué
校;xiào
村;cūn
町;dīng
森;sén
正;zhèng
水;shuǐ
火;huǒ
玉;yǜ
王;wáng
石;shí
竹;zhú
貝;bèi
車;chē
金;jīn
雨;yǔ
赤;chì
青;qīng
白;bái
来;lái
红;hóng
我;wǒ
你;nǐ
您;nín
他;tā
她;tā
们;men
是;shì
谁;shuí